STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
69015093121,2019-1-1,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",39.3,24,4.8,24,1020,24,939.8,23,10,24,9.8,24,18.1,22,50, ,30.9, ,0,I,999.9,000000
69015093121,2019-1-2,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",39.3,24,0.1,24,1024.3,24,943.4,24,10,24,9.5,24,13,18.1,51.1, ,28.9, ,0,I,999.9,000000
69015093121,2019-1-3,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",38.7,23,5.2,23,1026,22,945,23,10,23,3.8,23,9.9,999.9,57, ,26.1, ,0,I,999.9,000000
69015093121,2019-1-4,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",39,23,13.2,23,1021.9,23,941.2,22,10,23,2.9,23,7,999.9,57, ,26.1, ,0,I,999.9,000000
69015093121,2019-1-5,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",42.5,24,16.3,24,1016.7,24,936.6,24,10,24,4.3,24,13,999.9,55, ,27, ,0,I,999.9,000000
69015093121,2019-1-6,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",46.7,24,37.7,24,1016.2,23,936.4,24,9.9,24,4.9,24,9.9,999.9,59, ,33.1, ,0.05,G,999.9,010000
69015093121,2019-1-7,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",46.8,24,36.4,24,1021.8,24,941.7,24,10,24,5.8,24,13,999.9,59, ,37, ,0,G,999.9,000000
69015093121,2019-1-8,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",45.6,24,37.7,24,1024.6,24,944.2,24,10,24,3.6,24,8,999.9,60.1, ,35.1, ,0,I,999.9,000000
69015093121,2019-1-9,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",48.4,24,37.5,24,1021.7,24,941.6,24,10,24,3.4,24,8.9,999.9,63, ,35.1, ,0,I,999.9,000000
69015093121,2019-1-10,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",50.4,24,35.9,24,1020.1,24,940.6,20,10,24,5,24,8.9,999.9,66, ,36, ,0,I,999.9,000000
69015093121,2019-1-11,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",48.7,24,32.2,24,1020.2,24,940.4,24,10,24,5,24,12,999.9,66, ,36, ,0,I,999.9,000000
69015093121,2019-1-12,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",48.5,24,37.6,24,1017.7,24,938.1,24,9.8,24,3.8,24,7,999.9,63, ,36, ,0.11,B,999.9,010000
69015093121,2019-1-13,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",46.6,24,39.1,24,1019.8,21,939.7,24,9.5,24,4.2,24,11.1,999.9,57, ,37, ,0,A,999.9,000000
69015093121,2019-1-14,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",45.7,24,39.4,24,1019.8,24,939.8,24,8.9,24,3.5,24,9.9,999.9,57, ,37, ,0.2,A,999.9,010000
69015093121,2019-1-15,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",48,24,45.4,24,1017.1,17,937.5,24,6.3,24,4.7,24,11.1,999.9,54, ,39, ,0.2,D,999.9,010000
69015093121,2019-1-16,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",50.7,19,43.9,19,1019.7,17,940,19,8.4,19,7.4,18,11.1,999.9,61, ,46, ,0,I,999.9,000000
69015093121,2019-1-17,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",55.5,24,48.2,24,1020.4,24,940.9,24,8.1,24,8.5,24,17.1,24.1,63, ,46.9, ,0.01,B,999.9,010000
69015093121,2019-1-18,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",55.9,24,42.7,24,1021.3,24,941.8,24,8.4,24,9.4,24,21,999.9,64.9, ,48.9, ,0,I,999.9,000000
69015093121,2019-1-19,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",52.2,24,38.1,24,1027.6,24,947.5,24,8.1,24,3.8,24,8.9,999.9,66, ,39.9, ,0,I,999.9,000000
69015093121,2019-1-20,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",52,23,39.6,23,1022,23,942.3,23,8.3,23,3,23,8.9,999.9,66, ,39.9, ,0,I,999.9,000000
69015093121,2019-1-21,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",51.4,24,33.1,24,1013.4,21,934.2,24,6.8,24,16.7,24,35,47,64.9, ,42.1, ,0,H,999.9,010000
69015093121,2019-1-22,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",47.6,24,18.1,24,1022.7,24,942.7,24,8.8,24,17.2,24,29.9,38.1,55.9, ,42.1, ,0,I,999.9,000000
69015093121,2019-1-23,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",46.5,24,11.5,24,1029,24,948.3,24,8.3,24,6,24,14,999.9,62.1, ,35.1, ,0,I,999.9,000000
69015093121,2019-1-24,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",51.5,24,20.2,24,1024.5,24,944.3,24,8.4,24,5.8,24,12,999.9,64.9, ,35.1, ,0,I,999.9,000000
69015093121,2019-1-25,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",51,24,24.3,24,1024.3,24,944.2,24,8,24,7.2,24,12,999.9,64.9, ,37, ,0,I,999.9,000000
69015093121,2019-1-26,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",54.7,24,21.2,24,1025.6,24,945.7,24,8.5,24,8.9,24,15,19,66.9, ,37, ,0,I,999.9,000000
69015093121,2019-1-27,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",54.4,24,22.8,24,1024.3,24,944.5,24,8.1,24,4.1,24,9.9,999.9,70, ,41, ,0,I,999.9,000000
69015093121,2019-1-28,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",55.7,24,29.3,24,1018,24,938.7,24,8.5,24,3.9,24,8.9,999.9,73, ,41, ,0,I,999.9,000000
69015093121,2019-1-29,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",58.1,24,29.3,24,1014.4,21,936.4,24,7.9,24,3.3,24,11.1,999.9,73, ,42.1, ,0,I,999.9,000000
69015093121,2019-1-30,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",59.7,24,32,24,1013.1,16,934.4,23,8.1,24,2.2,24,7,999.9,72, ,48, ,0,I,999.9,000000
69015093121,2019-1-31,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",53.8,24,31.4,24,1013.6,24,934.8,22,8.1,24,4.9,24,15,15.9,69.1, ,41, ,0,I,999.9,000000
69015093121,2019-2-1,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",52.6,24,41.2,24,1015.3,24,936.1,24,8.3,24,6,24,14,15.9,69.1, ,39.9, ,0.02,G,999.9,000000
69015093121,2019-2-2,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",56,24,45,24,1011.9,24,933,24,8.1,24,12.3,24,24.1,34,64.9, ,39.9, ,0,G,999.9,000000
69015093121,2019-2-3,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",50.1,24,39.4,24,1009.3,24,930.4,24,7.6,24,8.3,23,22.9,35,63, ,37.9, ,0.14,G,999.9,010000
69015093121,2019-2-4,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",52.1,23,38.6,23,1008.7,23,929.9,23,8.2,23,12.3,23,28.9,36.9,61, ,37.9, ,0,G,999.9,000000
69015093121,2019-2-5,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",51.1,24,33.6,24,1007.7,23,928.9,24,8,24,14.8,24,28,41,57.9, ,41, ,0,I,999.9,000000
69015093121,2019-2-6,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",42.4,24,20.1,24,1014.7,24,935,24,8.8,24,17.3,24,25.1,32.1,57.9, ,35.1, ,0,I,999.9,000000
69015093121,2019-2-7,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",40,24,20.2,24,1025,24,944.1,24,8.8,24,5.5,24,13,999.9,52, ,28.9, ,0,I,999.9,000000
69015093121,2019-2-8,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",40.1,24,18.4,24,1022.7,24,942,24,8.1,24,3.1,24,7,999.9,55, ,28, ,0,I,999.9,000000
69015093121,2019-2-9,34.294,-116.14722,610.5,"TWENTYNINE PALMS MC, CA US",43.7,24,22,24,1015.4,24,935.5,24,8.1,24,3.6,24,8.9,999.9,57.9, ,28, ,0,I,999.9,000000
